Date,Bitcoin Difficulty,Bitcoin Hashrate,Bitcoin Mining Prob
2009-01-03,0.0,0.0,0.0
2009-01-04,0.0,0.0,0.0
2009-01-05,0.0,0.0,0.0
2009-01-06,0.0,0.0,0.0
2009-01-07,0.0,0.0,0.0
2009-01-08,0.0,0.0,0.0
2009-01-09,0.0,16.347326397649038,0.0
2009-01-10,0.0,16.053901923705837,0.0
2009-01-11,0.0,15.396036724770541,0.0
2009-01-12,0.0,15.334534803086452,0.0
2009-01-13,0.0,15.547978693235816,0.0
2009-01-14,0.0,15.641134755967833,0.0
2009-01-15,0.0,15.666396115002616,0.0
2009-01-16,0.0,15.618876247030359,0.0
2009-01-17,0.0,15.47197250444919,0.0
2009-01-18,0.0,15.462259861956701,0.0
2009-01-19,0.0,15.566877107273067,0.0
2009-01-20,0.0,15.572263209763014,0.0
2009-01-21,0.0,15.53100272536343,0.0
2009-01-22,0.0,15.231538220662921,0.0
2009-01-23,0.0,15.073521730512661,0.0
2009-01-24,0.0,15.94293515247251,0.0
2009-01-25,0.0,16.114353056179407,0.0
2009-01-26,0.0,15.85542679010606,0.0
2009-01-27,0.0,15.345259166936879,0.0
2009-01-28,0.0,15.417520148605119,0.0
2009-01-29,0.0,15.572665469845367,0.0
2009-01-30,0.0,15.646620219142356,0.0
2009-01-31,0.0,15.615898362482094,0.0
2009-02-01,0.0,15.638543862777448,0.0
2009-02-02,0.0,15.63253889647914,0.0
2009-02-03,0.0,15.718281893841668,0.0
2009-02-04,0.0,15.663418922380492,0.0
2009-02-05,0.0,15.615398402261901,0.0
2009-02-06,0.0,15.655352798361177,0.0
2009-02-07,0.0,15.660963389112222,0.0
2009-02-08,0.0,15.677257426195027,0.0
2009-02-09,0.0,15.675228007808848,0.0
2009-02-10,0.0,15.689044618903939,0.0
2009-02-11,0.0,15.681183373264767,0.0
2009-02-12,0.0,15.61496716143748,0.0
2009-02-13,0.0,15.61640500923733,0.0
2009-02-14,0.0,15.7109706660165,0.0
2009-02-15,0.0,15.665359044923163,0.0
2009-02-16,0.0,15.645039527589164,0.0
2009-02-17,0.0,15.586478200800007,0.0
2009-02-18,0.0,15.600092329038223,0.0
2009-02-19,0.0,15.597888154736067,0.0
2009-02-20,0.0,15.656419333211812,0.0
2009-02-21,0.0,15.54267141536046,0.0
2009-02-22,0.0,15.61096419534309,0.0
2009-02-23,0.0,15.525973923234638,0.0
2009-02-24,0.0,15.512465086399944,0.0
2009-02-25,0.0,15.491989732066488,0.0
2009-02-26,0.0,15.432254119041668,0.0
2009-02-27,0.0,15.561137777636294,0.0
2009-02-28,0.0,15.486391392609816,0.0
2009-03-01,0.0,15.435709561605437,0.0
2009-03-02,0.0,15.489181069746646,0.0
2009-03-03,0.0,15.4692929576502,0.0
